main_artist,id,name,popularity,genres
Kanye West,20qISvAhX20dpIbOOzGK3q,JAY-Z,81,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
JAY-Z,0ONHkAv9pCAFxb0zJwDNTy,Kid Cudi,77,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Kid Cudi,4OBJLual30L7gRl5UkeRcT,Kendrick Lamar,86,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar,1sBkRIssrMs1AbVkOJbc7a,A$AP Rocky,79,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
A$AP Rocky,59wfkuBoNyhDMQGCljbUbA,Baby Keem,75,"['hip hop', 'rap']"
Baby Keem,5me0Irg2ANcsgc93uaYrpb,"Tyler, The Creator",82,"['hip hop', 'rap']"
"Tyler, The Creator",55Aa2cqylxrFIXC767Z865,Frank Ocean,82,"['lgbtq+ hip hop', 'neo soul']"
Frank Ocean,3ipn9JLAPI5GUEo4y4jcoi,Playboi Carti,83,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
Playboi Carti,1YfEcTuGvBQ8xSD1f53UnK,J. Cole,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
J. Cole,3ScY9CQxNLQei8Umvpx5g6,Childish Gambino,76,"['atl hip hop', 'hip hop', 'rap']"
Childish Gambino,5K4W6rqBFWDnAN6FQUkS6x,21 Savage,88,"['atl hip hop', 'hip hop', 'rap']"
21 Savage,01QTIT5P1pFP3QnnFSdsJf,Metro Boomin,85,['rap']
Metro Boomin,1G9G7WwrXka3Z1r7aIDjI7,Joey Bada$$,70,"['conscious hip hop', 'hip hop', 'rap']"
Joey Bada$$,0NbfKEOTQCcwd6o7wSDOHI,Future,87,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future,0fA0VVWsXO9YnASrzqfmYu,Travis Scott,90,"['hip hop', 'rap', 'slap house']"
Travis Scott,6O2zJ0tId7g07yzHtX0yap,Mac Miller,80,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Mac Miller,17lzZA2AlOHwCwFALHttmp,Lil Uzi Vert,83,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Lil Uzi Vert,5pnbUBPifNnlusY8kTBivi,Chance the Rapper,71,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Chance the Rapper,0Mz5XE0kb1GBnbLQm2VbcO,Lil Wayne,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Lil Wayne,0YWxKQj2Go9CGHCp77UOyy,Young Thug,82,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
Young Thug,2hPgGN4uhvXAxiXQBIXOmE,Nas,71,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
